;;;;;;;;;;;;;;;;;;;;;;;;;;;
LogID;652;;Lap;RunTime;LapTime;HR;avgHR;LapDist;LapSpeed;RunDist;RunSpeed;Notes;;Time;HR;EPOC;Vent;Resp;VO2;kCal;Alt;Distance;Speed;min/km;km/h;;
;;;;;;;;;;;;;;0:07:18;103;1,099;18;17;8;2,42;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:07:20;100;1,102;18;17;7;2,31;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:07:22;105;1,107;20;17;8;2,64;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:07:24;111;1,113;22;17;10;3,03;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:07:26;109;1,119;21;17;9;2,89;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:07:28;106;1,124;21;17;9;2,77;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:07:30;106;1,129;21;18;9;2,79;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:07:32;106;1,134;22;18;9;2,85;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:07:34;109;1,141;23;18;10;3,04;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:07:36;111;1,147;23;18;10;3,13;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:07:38;112;1,154;23;18;10;3,12;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:07:40;101;1,159;19;18;8;2,52;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:07:42;91;1,161;17;18;6;2,05;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:07:44;91;1,163;17;18;6;2,05;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:07:46;94;1,166;18;18;7;2,19;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:07:48;98;1,169;18;18;7;2,34;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:07:50;98;1,172;18;17;7;2,29;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:07:52;95;1,174;17;17;7;2,15;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:07:54;96;1,177;17;17;6;2,11;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:07:56;95;1,179;17;17;6;2,05;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:07:58;97;1,181;17;16;7;2,13;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:08:00;102;1,184;18;16;7;2,29;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:08:02;100;1,186;16;16;7;2,12;0;0;0,000;;0,0;;
